name,entropy,grad_energy,psnr
f001280,7.523646786613858,11.672178608530686,37.15676498413086
f001285,7.513778729547747,11.558392728762914,36.93751907348633
f001290,7.513898982521113,13.078635046792405,36.194644927978516
f001295,7.509829687868319,11.796237465819813,36.47405242919922
f001300,7.508808744835185,11.66851024943477,36.6120491027832
f001305,7.517889966962587,13.410562508432866,36.33254623413086
f001310,7.523113145970031,11.823924659840577,36.977535247802734
f001315,7.531344574728822,11.77786177861268,37.04643249511719
f001320,7.54069168793642,13.292342722744502,36.53245544433594
f001325,7.5425781352235575,11.892082866583054,36.91917037963867
f001330,7.563451389289569,11.617492782954075,36.02510070800781
f001335,7.607282871431519,13.583311851397378,35.43286895751953
f001340,7.649233598157004,11.55595821252372,35.49567794799805
f001345,7.681448590449138,11.47917005275367,35.47422409057617
f001350,7.702399392980745,13.629175309009575,35.58755874633789
f001355,7.70704265299951,11.912792894929362,36.77427673339844
f001360,7.7072843453157525,11.63675018708673,37.52430725097656
f001365,7.705550780868717,13.253554653773397,36.370914459228516
f001370,7.690246993471429,11.429848388297513,36.29576873779297
f001375,7.685582900940883,11.259031661403903,36.468963623046875
f001380,7.689268517235412,12.917987719094771,35.910709381103516
f001385,7.680429717370092,11.511238578765756,36.82326889038086
f001390,7.6762560529971875,11.405863270923387,36.567386627197266
f001395,7.674699361174817,13.491488875412957,35.77234649658203
f001400,7.6641584827675,11.673222887686926,36.58894729614258
f001405,7.655586158227791,11.518346639910874,36.90924835205078
f001410,7.6529422407827195,12.970298959439866,36.421592712402344
f001415,7.645562836762712,11.692243783878148,37.08094024658203
f001420,7.641279652942021,11.47749128703203,37.17253112792969
f001425,7.645311692040368,13.25452195000958,36.184261322021484
f001430,7.6380890657541745,11.61629329522856,36.975303649902344
f001435,7.6357922408370555,11.380481482038867,37.22023391723633
f001440,7.638883016836892,12.994760050088681,36.311790466308594
f001445,7.633348154839947,11.5601593613902,37.03841781616211
f001450,7.62817305023132,11.652256589180833,37.10744857788086
f001455,7.62299812148274,13.037524461848115,36.46881103515625
f001460,7.604731526248947,11.35844013813396,37.342323303222656
f001465,7.593385746812295,10.993066882770712,37.42747497558594
f001470,7.592400481896734,12.788705994471082,36.48432922363281
f001475,7.577822189042921,11.113762835806746,37.47539138793945
f001480,7.564074952106709,10.913758192224341,37.70335388183594
f001485,7.557340135355434,12.457846026774131,36.55582809448242
f001490,7.542109350028561,11.243088323601215,36.88644790649414
f001495,7.529260856909518,11.102446589237594,36.410552978515625
f001500,7.520528968103065,12.29159732985318,34.51736068725586
f001505,7.5132491968925095,10.79603003486241,35.32596206665039
f001510,7.511210824073079,10.745409115701829,36.03228759765625
f001515,7.510169150368736,12.187586959730814,35.61172866821289
f001520,7.503166254109438,10.411942533766283,36.96651840209961
f001525,7.514120562909262,10.482733211940083,36.74281692504883
f001530,7.498774327218996,11.663591055198443,37.4017219543457
f001535,7.479140945834077,10.402278412734624,37.911903381347656
f001540,7.458860454096515,10.324121583309255,36.576568603515625
f001545,7.452451308945314,11.142774231134865,36.00712585449219
f001550,7.442267468701385,10.146271823807881,36.105506896972656
f001555,7.4486516594635575,9.926533508236107,37.178924560546875
f001560,7.455237695252262,10.800858204050082,35.41645431518555
f001565,7.470122826666775,9.456050359871348,38.22737121582031
f001570,7.465925167483902,9.561892989065138,38.09521484375
f001575,7.463956030957146,10.670003750985614,37.84684371948242
f001580,7.454829052740879,9.3091890419737,38.413387298583984
f001585,7.438845941640054,9.15423155811788,38.400020599365234
f001590,7.426746005222988,10.44363785800172,36.74075698852539
f001595,7.404461468426889,9.104357873419003,37.17647933959961
f001600,7.3857919585991425,8.626909188293915,37.968544006347656
f001605,7.370230170769987,9.78969277110277,37.600093841552734
f001610,7.337656927012917,8.66841652064277,37.426177978515625
f001615,7.319938636837575,8.374880787443699,38.120853424072266
f001620,7.3146344583600165,9.658035286909337,37.017356872558594
f001625,7.303966753454813,8.489492549818964,37.864871978759766
f001630,7.29996769096703,8.286229297034982,37.65810012817383
f001635,7.3069164127616855,9.627264212480316,36.85719299316406
f001640,7.2985346656391865,8.383412043280705,37.15314483642578
f001645,7.2995555254257045,8.14342956033981,38.03459930419922
f001650,7.31336463775448,9.445133922201766,37.61692810058594
f001655,7.3045319595789335,8.331012629130305,37.66661834716797
f001660,7.30147450701355,8.072493318613624,38.69472122192383
f001665,7.303712087467147,9.255441645837882,38.354949951171875
f001670,7.289845534576739,8.165913793232694,38.52330780029297
f001675,7.283523629932004,8.0501331555601,37.304969787597656
f001680,7.282877977184469,9.10718262992302,38.40345764160156
f001685,7.265055806080539,8.238690153909074,37.55832290649414
f001690,7.261355264500894,8.01177571259793,37.317543029785156
f001695,7.260507779689269,9.330071587156556,36.13862228393555
f001700,7.241720049354983,8.149459788665173,36.437347412109375
f001705,7.2284631709210725,7.988357125972144,37.266048431396484
f001710,7.219560471519474,9.295107240746109,36.93560028076172
f001715,7.194719433288708,8.027771961827597,36.19221115112305
f001720,7.1743531239469505,7.905326661543917,35.624481201171875
f001725,7.160315099171328,8.878232089229654,36.10980224609375
f001730,7.140435029531934,7.812949441586728,36.932804107666016
f001735,7.121065043149448,7.552854203040779,37.56688690185547
f001740,7.113787409657151,8.570769660625283,36.959346771240234
f001745,7.097269510223874,8.064211766491495,36.605308532714844
f001750,7.081981373413156,7.712649051842257,36.699920654296875
f001755,7.065408062259555,8.279768924449245,36.91718673706055
f001760,7.04593395470255,7.783581807895776,39.3422737121582
f001765,7.0314455747678695,7.703585344629681,39.988983154296875
f001770,7.0228148260825005,7.9493059910662724,40.29134750366211
f001775,7.006300083308176,7.762062800836265,39.55805206298828
f001780,6.990948346279387,7.780030462390859,39.647056579589844
f001785,6.98113751638483,7.981045326662793,39.21608352661133
f001790,6.968875620495547,7.786440597109159,39.01777267456055
f001795,6.9535189335441965,7.628075590201711,38.906429290771484
f001800,6.946866040417506,8.020166445455343,38.247222900390625
f001805,6.934646896878861,7.508426112507357,38.48781204223633
f001810,6.932508406115429,7.594359164015141,38.137535095214844
f001815,6.936404585362879,8.189533812288694,37.155181884765625
f001820,6.929821687945845,7.5156863857120815,37.853912353515625
f001825,6.923441870385694,7.333034266737613,39.154476165771484
f001830,6.927993083324391,8.05235904881582,39.660484313964844
f001835,6.924150784897856,7.526107355372621,39.824562072753906
f001840,6.926068756711161,7.477574032370328,40.15266799926758
f001845,6.936511361026489,7.756742042761115,39.89888000488281
f001850,6.940745656134155,7.362660946720191,40.12332534790039
f001855,6.945722887664222,7.344645606574651,39.58544158935547
f001860,6.964628956595398,8.012814943131863,39.025634765625
f001865,6.979013353113418,7.545030302482868,39.15373229980469
f001870,6.997893420987619,7.578683784802002,38.569732666015625
f001875,7.027434649413392,8.193859598382115,38.71233367919922
f001880,7.041075001547773,7.814874789695109,38.97285079956055
f001885,7.05204113436541,7.693814576912638,38.802860260009766
f001890,7.062152391205126,8.247597056257497,38.28779602050781
f001895,7.05891727339942,7.778440288682707,37.89767837524414
f001900,7.061099310412582,7.728126908618784,36.19150924682617
f001905,7.0775209510736214,8.735851391034005,36.237579345703125
f001910,7.083861334244052,7.22407508255285,34.731807708740234
f001915,7.097091495284204,7.123946843307757,36.22569274902344
f001920,7.0956563819333365,8.659388798919949,35.76595687866211
f001925,7.070160816621138,7.1292278360324834,36.51469039916992
f001930,7.081008342411671,7.192857038942618,37.52492904663086
f001935,7.186075862399596,9.178315710839614,21.81360626220703
f001940,7.123914028618732,7.234315136604021,36.81212615966797
f001945,7.160258953235935,7.292900667666986,36.205020904541016
f001950,7.20807002356002,9.224846699511186,34.66707229614258
f001955,7.23328275434193,7.770727346027378,34.74043273925781
f001960,7.292164217928624,7.685065055907957,35.11971664428711
f001965,7.314879769549561,9.822720601369117,35.37154006958008
f001970,7.267428536515636,8.002980572831193,36.07624435424805
f001975,7.234530367532506,7.752504091749074,35.96771240234375
f001980,7.2243262255221605,9.465766593595102,36.13951110839844
f001985,7.191777068106379,7.8709875948649275,36.834991455078125
