name,split,t_s,sonar_m,pred_m,residual_m,abs_residual_m,psnr_db,render_ms
f001075,train,43.0,0.1,0.10670825923242915,0.00670825923242914,0.00670825923242914,37.5209846496582,7.5130462646484375
f001080,train,43.2,0.109,0.10629179955525699,-0.002708200444743014,0.002708200444743014,36.574241638183594,7.506608963012695
f001085,train,43.4,0.127,0.13451583970116293,0.00751583970116293,0.00751583970116293,37.190406799316406,7.508039474487305
f001090,train,43.6,0.144,0.15421716822286072,0.010217168222860729,0.010217168222860729,37.27188491821289,7.524013519287109
f001095,train,43.8,0.161,0.17435410568016507,0.013354105680165068,0.013354105680165068,36.60982131958008,7.000207901000977
f001100,train,44.0,0.161,0.1992531907084098,0.038253190708409796,0.038253190708409796,37.366783142089844,8.142948150634766
f001105,train,44.2,0.18,0.19000727901183218,0.010007279011832182,0.010007279011832182,37.29927444458008,8.150815963745117
f001110,test,44.4,0.201,0.47670807800013587,0.27570807800013586,0.27570807800013586,36.77115249633789,8.006095886230469
f001115,train,44.6,0.222,0.2234858384891077,0.0014858384891076881,0.0014858384891076881,37.932491302490234,8.484125137329102
f001120,train,44.8,0.247,0.24136801681455936,-0.005631983185440642,0.005631983185440642,37.88447189331055,8.754730224609375
f001125,train,45.0,0.247,0.2350758268601998,-0.01192417313980021,0.01192417313980021,36.95246505737305,7.963418960571289
f001130,train,45.2,0.279,0.2579123107214025,-0.0210876892785975,0.0210876892785975,37.35940933227539,7.756471633911133
f001135,train,45.4,0.313,0.32294714550735265,0.00994714550735265,0.00994714550735265,37.2721061706543,7.421970367431641
f001140,train,45.6,0.356,0.4012661447529639,0.04526614475296392,0.04526614475296392,36.4393310546875,9.040355682373047
f001145,train,45.8,0.401,0.4402408447361212,0.03924084473612116,0.03924084473612116,37.134830474853516,7.5206756591796875
f001150,test,46.0,0.401,0.6878220277896001,0.2868220277896001,0.2868220277896001,36.66355514526367,8.020639419555664
f001155,train,46.2,0.448,0.4748066163261431,0.026806616326143118,0.026806616326143118,35.91253662109375,8.516550064086914
f001160,train,46.4,0.504,0.46617792329258245,-0.03782207670741755,0.03782207670741755,36.21544647216797,7.523298263549805
f001165,train,46.6,0.564,0.5330697958213592,-0.030930204178640786,0.030930204178640786,35.749881744384766,8.034229278564453
f001170,train,46.8,0.627,0.610372289413829,-0.016627710586170963,0.016627710586170963,35.90953826904297,7.512331008911133
f001175,train,47.0,0.627,0.6453298918187444,0.018329891818744448,0.018329891818744448,36.73944854736328,8.049488067626953
f001180,train,47.2,0.693,0.6861675788289021,-0.0068324211710978355,0.0068324211710978355,36.40350341796875,7.820844650268555
f001185,train,47.4,0.766,0.7467283170759973,-0.01927168292400272,0.01927168292400272,35.26841354370117,7.5283050537109375
f001190,test,47.6,0.84,0.813466917257244,-0.02653308274275601,0.02653308274275601,36.222259521484375,8.727312088012695
f001195,train,47.8,0.922,0.9470447857703623,0.025044785770362288,0.025044785770362288,36.427528381347656,7.511615753173828
f001200,train,48.0,0.922,0.8276658232986529,-0.09433417670134714,0.09433417670134714,36.0432014465332,8.090019226074219
f001205,train,48.2,1.0,0.9130545682841271,-0.08694543171587288,0.08694543171587288,37.125694274902344,8.078813552856445
f001210,train,48.4,1.076,1.034525408663418,-0.041474591336582156,0.041474591336582156,37.41920852661133,8.583307266235352
f001215,train,48.6,1.137,1.1112967720832672,-0.02570322791673285,0.02570322791673285,36.78704833984375,8.027315139770508
f001220,train,48.8,1.195,1.1731539063198642,-0.021846093680135903,0.021846093680135903,37.70227813720703,8.004188537597656
f001225,train,49.0,1.195,1.1946543062037216,-0.00034569379627846786,0.00034569379627846786,37.96787643432617,8.669376373291016
f001230,test,49.2,1.252,1.1538230381580672,-0.09817696184193281,0.09817696184193281,36.951820373535156,9.021759033203125
f001235,train,49.4,1.3,1.3470409931923868,0.04704099319238675,0.04704099319238675,37.87495803833008,7.509469985961914
f001240,train,49.6,1.345,1.4117178532871955,0.06671785328719548,0.06671785328719548,38.03118896484375,8.466482162475586
f001245,train,49.8,1.387,1.5109065108741602,0.12390651087416016,0.12390651087416016,36.99998474121094,7.508039474487305
f001250,train,50.0,1.387,1.4782926915935533,0.09129269159355324,0.09129269159355324,37.76303482055664,7.0056915283203125
f001255,train,50.2,1.393,1.4567191781384021,0.06371917813840211,0.06371917813840211,37.67063522338867,8.026838302612305
f001260,train,50.4,1.418,1.441870860761391,0.02387086076139111,0.02387086076139111,36.670108795166016,9.037971496582031
f001265,train,50.6,1.414,1.4212290365198776,0.0072290365198777184,0.0072290365198777184,36.99916076660156,8.512258529663086
f001270,test,50.8,1.429,1.1689386819226242,-0.26006131807737587,0.26006131807737587,36.86079025268555,8.950233459472656
f001275,train,51.0,1.429,1.5176157378210968,0.08861573782109677,0.08861573782109677,36.42647933959961,9.01651382446289
f001280,train,51.2,1.427,1.4947432451346316,0.06774324513463159,0.06774324513463159,37.15676498413086,8.016824722290039
f001285,train,51.4,1.439,1.495423029131542,0.05642302913154196,0.05642302913154196,36.93751907348633,9.51242446899414
f001290,train,51.6,1.441,1.4382587059072416,-0.002741294092758473,0.002741294092758473,36.194644927978516,9.517908096313477
f001295,train,51.8,1.445,1.396288541342581,-0.048711458657419104,0.048711458657419104,36.47405242919922,10.110616683959961
f001300,train,52.0,1.445,1.3944401926858503,-0.050559807314149774,0.050559807314149774,36.6120491027832,8.341312408447266
f001305,train,52.2,1.461,1.3939750525995258,-0.06702494740047427,0.06702494740047427,36.33254623413086,8.512258529663086
